Игорь Иванов;igorivanov@example.com;P@ssw0rd!!2019$
Анна Петрова;annapetrova@example.com;P@ssw0rd!2019
Сергей Кузнецов;sergeikuznetsov@example.com;P@ssw0rd!!2019$
Алексей Смирнов;alexeysmirnov@example.com;Pa55word!
Марина Васильева;marinavasileva@example.com;Str0ngP@ssw0rd
Дмитрий Соколов;dmitrysokolov@example.com;P@ssw0rd$
Елена Павлова;elenapavlova@example.com;PassWord!123
Ольга Морозова;olgamorozova@example.com;Secr3t!Pa55w0rd
Андрей Попов;andreipopov@example.com;StroNgPa55w0rd!
Татьяна Иванова;tatianaiwanowa@example.com;P@ssw0rd@123
Михаил Федоров;mikhailfedorov@example.com;P@ssw0rd2019$
